ArtistID,BiographyID,biographyTitle,biographyAuthorID,BiographyAuthorLabel,BiographyDate,BiographyAuthorGenre
Q2216478,Q110308119,St. James Guide to Black Artists,,,,
Q229272,Q17378135,Большая советская энциклопедия,,,,
Q231121,Q116742585,American women sculptors,Q19664972,Charlotte Streifer Rubinstein,,female
Q232391,Q104771187,TheaterEncyclopedie,,,,
Q232391,Q126953276,Искусство стран и народов мира,,,,
Q232391,Q20078554,Большая советская энциклопедия,,,,
Q232391,Q28487969,Concise Dictionary of Women Artists,,,,
Q232391,Q28666511,Московская энциклопедия  : Лица Москвы,,,,
Q232391,Q28927781,Great Women Masters of Art,,,,
Q232391,Q28927781,"Grote meesters van de westerse schilderkunst, Schilderessen",,,,
Q232391,Q94994375,Amazons of the avant-garde,Q16194679,Matthew Drutt,,male
Q232391,Q94994375,Amazons of the avant-garde,Q16627817,John Ellis Bowlt,,male
Q232972,Q28487969,Concise Dictionary of Women Artists,,,,
Q232972,Q28927781,Great Women Masters of Art,,,,
Q232972,Q28927781,"Grote meesters van de westerse schilderkunst, Schilderessen",,,,
Q234324,Q116742585,American women sculptors,Q19664972,Charlotte Streifer Rubinstein,,female
Q234324,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q234324,Q28487969,Concise Dictionary of Women Artists,,,,
Q234449,Q28487969,Concise Dictionary of Women Artists,,,,
Q235275,Q28487969,Concise Dictionary of Women Artists,,,,
Q235281,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q235281,Q28487969,Concise Dictionary of Women Artists,,,,
Q235281,Q28927781,Great Women Masters of Art,,,,
Q235281,Q28927781,"Grote meesters van de westerse schilderkunst, Schilderessen",,,,
Q237959,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q237959,Q28487969,Concise Dictionary of Women Artists,,,,
Q237959,Q28927781,Great Women Masters of Art,,,,
Q237959,Q28927781,"Grote meesters van de westerse schilderkunst, Schilderessen",,,,
Q237959,Q56821850,"Broad strokes : 15 women who made art and made history, in that order",,,,
Q239394,Q127157391,Искусство стран и народов мира,,,,
Q239394,Q20078554,Большая советская энциклопедия,,,,
Q241098,Q127157391,Искусство стран и народов мира,,,,
Q241098,Q17378135,Большая советская энциклопедия,,,,
Q242121,Q126953276,Искусство стран и народов мира,,,,
Q242121,Q20078554,Большая советская энциклопедия,,,,
Q242121,Q28487969,Concise Dictionary of Women Artists,,,,
Q242121,Q28666511,Московская энциклопедия  : Лица Москвы,,,,
Q242121,Q94994375,Amazons of the avant-garde,Q16194679,Matthew Drutt,,male
Q242121,Q94994375,Amazons of the avant-garde,Q16627817,John Ellis Bowlt,,male
Q242399,Q28487969,Concise Dictionary of Women Artists,,,,
Q2471547,Q24038862,Беларуская энцыклапедыя: У 18 т. Т. 15: Следавікі — Трыо,,,,
Q254395,Q28487969,Concise Dictionary of Women Artists,,,,
Q259594,Q126953276,Искусство стран и народов мира,,,,
Q259594,Q28487969,Concise Dictionary of Women Artists,,,,
Q259594,Q28666511,Московская энциклопедия  : Лица Москвы,,,,
Q259594,Q28927781,Great Women Masters of Art,,,,
Q259594,Q28927781,"Grote meesters van de westerse schilderkunst, Schilderessen",,,,
Q259594,Q94994375,Amazons of the avant-garde,Q16194679,Matthew Drutt,,male
Q259594,Q94994375,Amazons of the avant-garde,Q16627817,John Ellis Bowlt,,male
Q2617109,Q110308119,St. James Guide to Black Artists,,,,
Q2617109,Q46002746,Dictionary of African Biography,,,,
Q262284,Q28487969,Concise Dictionary of Women Artists,,,,
Q26408,Q119948431,Schaffhauser Kantonsgeschichte des 19. und 20. Jahrhunderts,,,,
Q26408,Q127157391,Искусство стран и народов мира,,,,
Q26408,Q17378135,Большая советская энциклопедия,,,,
Q26408,Q20078554,Большая советская энциклопедия,,,,
Q264193,Q20078554,Большая советская энциклопедия,,,,
Q2662098,Q110308119,St. James Guide to Black Artists,,,,
Q2662098,Q46002746,Dictionary of African Biography,,,,
Q2665553,Q28487969,Concise Dictionary of Women Artists,,,,
Q2676807,Q110308119,St. James Guide to Black Artists,,,,
Q270460,Q107344250,Русские писатели 1800—1917: Биографический словарь,,,,
Q270460,Q28487969,Concise Dictionary of Women Artists,,,,
Q270460,Q28927781,Great Women Masters of Art,,,,
Q270460,Q28927781,"Grote meesters van de westerse schilderkunst, Schilderessen",,,,
Q270460,Q94994375,Amazons of the avant-garde,Q16194679,Matthew Drutt,,male
Q270460,Q94994375,Amazons of the avant-garde,Q16627817,John Ellis Bowlt,,male
Q274339,Q124350773,A Historical Dictionary of British Women,,,,
Q274339,Q28487969,Concise Dictionary of Women Artists,,,,
Q275610,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q275610,Q28487969,Concise Dictionary of Women Artists,,,,
Q276372,Q116742585,American women sculptors,Q19664972,Charlotte Streifer Rubinstein,,female
Q276372,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q276372,Q28487969,Concise Dictionary of Women Artists,,,,
Q2893161,Q110308119,St. James Guide to Black Artists,,,,
Q2900288,Q105958972,Notable Black American Women,Q47455946,Jessie Carney Smith,,female
Q2900288,Q110308119,St. James Guide to Black Artists,,,,
Q2900288,Q116742585,American women sculptors,Q19664972,Charlotte Streifer Rubinstein,,female
Q2900288,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q2900288,Q28487969,Concise Dictionary of Women Artists,,,,
Q296,Q127157391,Искусство стран и народов мира,,,,
Q296,Q15987490,The Enciclopædia Britannica,,,,
Q296,Q19190511,Новый энциклопедический словарь,,,,
Q296,Q20078554,Большая советская энциклопедия,,,,
Q296,Q867541,Encyclopædia Britannica,,,,
Q3019743,Q17378135,Большая советская энциклопедия,,,,
Q3057700,Q110308119,St. James Guide to Black Artists,,,,
Q312631,Q126953276,Искусство стран и народов мира,,,,
Q312631,Q17378135,Большая советская энциклопедия,,,,
Q312631,Q28666511,Московская энциклопедия  : Лица Москвы,,,,
Q313899,Q1186818,Den Store Danske Encyklopædi,,,,
Q316667,Q81593509,"Malcolm Morley, Genre-Crossing Artist, Is Dead at 86",Q1504224,Neil Genzlinger,,male
Q325076,Q110308119,St. James Guide to Black Artists,,,,
Q332041,Q17378135,Большая советская энциклопедия,,,,
Q3381180,Q110308119,St. James Guide to Black Artists,,,,
Q33978,Q127157391,Искусство стран и народов мира,,,,
Q33981,Q103953680,"Macke, August",,,,
Q34013,Q127157391,Искусство стран и народов мира,,,,
Q34661,Q20078554,Большая советская энциклопедия,,,,
Q34661,Q72628185,Malerwerke des neunzehnten Jahrhunderts: Beitrag zur Kunstgeschichte,Q1338906,Friedrich von Boetticher,,male
Q35548,Q127157391,Искусство стран и народов мира,,,,
Q35548,Q17378135,Большая советская энциклопедия,,,,
Q35548,Q4532138,Энциклопедический словарь Гранат,,,,
Q355566,Q110308119,St. James Guide to Black Artists,,,,
Q3633491,Q15649499,Allgemeines Künstlerlexikon,,,,
Q368254,Q20078554,Большая советская энциклопедия,,,,
Q374948,Q126953276,Искусство стран и народов мира,,,,
Q374948,Q28487969,Concise Dictionary of Women Artists,,,,
Q374948,Q28666511,Московская энциклопедия  : Лица Москвы,,,,
Q374948,Q94994375,Amazons of the avant-garde,Q16194679,Matthew Drutt,,male
Q374948,Q94994375,Amazons of the avant-garde,Q16627817,John Ellis Bowlt,,male
Q37693,Q115627942,Enciclopedia universal ilustrada europeo-americana,,,,
Q37693,Q127157391,Искусство стран и народов мира,,,,
Q37693,Q19190511,Новый энциклопедический словарь,,,,
Q37693,Q20078554,Большая советская энциклопедия,,,,
Q381950,Q127157391,Искусство стран и народов мира,,,,
Q38785,Q126953276,Искусство стран и народов мира,,,,
Q38785,Q28666511,Московская энциклопедия  : Лица Москвы,,,,
Q3924184,Q17378135,Большая советская энциклопедия,,,,
Q39931,Q1186818,Den Store Danske Encyklopædi,,,,
Q39931,Q127157391,Искусство стран и народов мира,,,,
Q39931,Q15987490,The Enciclopædia Britannica,,,,
Q39931,Q20089963,New International Encyclopedia,,,,
Q39931,Q867541,Encyclopædia Britannica,,,,
Q40599,Q1186818,Den Store Danske Encyklopædi,,,,
Q40599,Q127157391,Искусство стран и народов мира,,,,
Q40599,Q19180675,Малый энциклопедический словарь Брокгауза и Ефрона,,,,
Q40599,Q19219752,Meyers Konversations-Lexikon,,,,
Q40599,Q20078554,Большая советская энциклопедия,,,,
Q40599,Q602358,Энциклопедический словарь,Q2818964,AA.VV.,,
Q40599,Q72628185,Malerwerke des neunzehnten Jahrhunderts: Beitrag zur Kunstgeschichte,Q1338906,Friedrich von Boetticher,,male
Q40599,Q867541,Encyclopædia Britannica,,,,
Q41406,Q15649499,Allgemeines Künstlerlexikon,,,,
Q41406,Q17378135,Большая советская энциклопедия,,,,
Q41406,Q19190511,Новый энциклопедический словарь,,,,
Q41406,Q20078554,Большая советская энциклопедия,,,,
Q436782,Q123552002,"Susan Rothenberg, Acclaimed Figurative Painter, Dies at 75",Q118792515,Randy Kennedy,,male
Q436782,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q436874,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q44007,Q17378135,Большая советская энциклопедия,,,,
Q44054,Q17378135,Большая советская энциклопедия,,,,
Q44054,Q20078554,Большая советская энциклопедия,,,,
Q442486,Q15649499,Allgemeines Künstlerlexikon,,,,
Q444567,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q444567,Q28487969,Concise Dictionary of Women Artists,,,,
Q45205,Q127157391,Искусство стран и народов мира,,,,
Q460186,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q460186,Q28487969,Concise Dictionary of Women Artists,,,,
Q460186,Q28927781,Great Women Masters of Art,,,,
Q460186,Q28927781,"Grote meesters van de westerse schilderkunst, Schilderessen",,,,
Q460186,Q56821850,"Broad strokes : 15 women who made art and made history, in that order",,,,
Q463639,Q116742585,American women sculptors,Q19664972,Charlotte Streifer Rubinstein,,female
Q463639,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q463639,Q56821850,"Broad strokes : 15 women who made art and made history, in that order",,,,
Q46373,Q127157391,Искусство стран и народов мира,,,,
Q46373,Q15987490,The Enciclopædia Britannica,,,,
Q46373,Q602358,Энциклопедический словарь,Q2818964,AA.VV.,,
Q46373,Q867541,Encyclopædia Britannica,,,,
Q464044,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q46408,Q116742585,American women sculptors,Q19664972,Charlotte Streifer Rubinstein,,female
Q46408,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q46408,Q124097894,Wegbereiterinnen,Q6526589,Gisela Notz,,female
Q46408,Q28487969,Concise Dictionary of Women Artists,,,,
Q46408,Q28927781,Great Women Masters of Art,,,,
Q46408,Q28927781,"Grote meesters van de westerse schilderkunst, Schilderessen",,,,
Q46408,Q33876099,Die Damen mit dem grünen Daumen,Q33876377,Claudia Lanfranconi,,female
Q46408,Q33876099,Die Damen mit dem grünen Daumen,Q33876676,Sabine Frank,,female
Q465342,Q110308119,St. James Guide to Black Artists,,,,
Q465777,Q116742585,American women sculptors,Q19664972,Charlotte Streifer Rubinstein,,female
Q465777,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q466627,Q28487969,Concise Dictionary of Women Artists,,,,
Q467462,Q123567942,"Per Kirkeby, Painter Inspired by Nature, Is Dead at 79",Q7351542,Roberta Smith,,female
Q468453,Q127157391,Искусство стран и народов мира,,,,
Q468453,Q17378135,Большая советская энциклопедия,,,,
