artiste,artisteLabel,image,imageLabel
http://www.wikidata.org/entity/Q1355565,Marc Newson,http://commons.wikimedia.org/wiki/Special:FilePath/1952%20Ferrari%20225%20S%20Vignale%20sn0198ET%20at%202012%20Mille%20Miglia.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/1952%20Ferrari%20225%20S%20Vignale%20sn0198ET%20at%202012%20Mille%20Miglia.jpg
http://www.wikidata.org/entity/Q1356243,Josef Sudek,http://commons.wikimedia.org/wiki/Special:FilePath/Milo%C5%88%20Novotn%C3%BD%2C%20Portr%C3%A9t%20Josefa%20Sudka%2C%20Praha%201958%20%28cropped%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Milo%C5%88%20Novotn%C3%BD%2C%20Portr%C3%A9t%20Josefa%20Sudka%2C%20Praha%201958%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q1279035,Eberhard Göschel,http://commons.wikimedia.org/wiki/Special:FilePath/Eberhard%20Goeschel%20Portrait%202005.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Eberhard%20Goeschel%20Portrait%202005.jpg
http://www.wikidata.org/entity/Q1356738,Greg Mottola,http://commons.wikimedia.org/wiki/Special:FilePath/GregMottolaJuly09.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/GregMottolaJuly09.jpg
http://www.wikidata.org/entity/Q1348839,Mimmo Rotella,http://commons.wikimedia.org/wiki/Special:FilePath/Mimmo-Rotella%20%28cropped%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Mimmo-Rotella%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q1357018,Raoul Peck,http://commons.wikimedia.org/wiki/Special:FilePath/Raoul%20Peck%20Photo%20Call%20Der%20junge%20Karl%20Marx%20Berlinale%202017%2004.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Raoul%20Peck%20Photo%20Call%20Der%20junge%20Karl%20Marx%20Berlinale%202017%2004.jpg
http://www.wikidata.org/entity/Q1347418,Joseph Stella,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Stella%20-%20Jan%201923%20Shadowland.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Stella%20-%20Jan%201923%20Shadowland.jpg
http://www.wikidata.org/entity/Q1287015,Edmund de Waal,http://commons.wikimedia.org/wiki/Special:FilePath/Edmund%20de%20Waal%20Linz%20BHO-9340.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Edmund%20de%20Waal%20Linz%20BHO-9340.jpg
http://www.wikidata.org/entity/Q1351374,Francisco Toledo,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20Toledo%2C%202005%20%28cropped%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20Toledo%2C%202005%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q1351738,John Adams Whipple,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Adams%20Whipple%20by%20Francis%20D%27Avignon%20%28cropped%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Adams%20Whipple%20by%20Francis%20D%27Avignon%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q1281943,Alan Crosland,http://commons.wikimedia.org/wiki/Special:FilePath/Alan%20Crosland%20-%20Aug%201921%20EH.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Alan%20Crosland%20-%20Aug%201921%20EH.jpg
http://www.wikidata.org/entity/Q1291225,Stanisław Stückgold,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96narck%C3%A9p%20-%201908.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96narck%C3%A9p%20-%201908.jpg
http://www.wikidata.org/entity/Q1284772,Tracey Moffatt,http://commons.wikimedia.org/wiki/Special:FilePath/Tracy%20Moffatt.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Tracy%20Moffatt.jpg
http://www.wikidata.org/entity/Q1249215,Peter Cook,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20in%20Kyoto%20Dec2010.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20in%20Kyoto%20Dec2010.jpg
http://www.wikidata.org/entity/Q1300788,Urs Lüthi,http://commons.wikimedia.org/wiki/Special:FilePath/Urs%20L%C3%BCthi%20Skulptur%20Selbstportr%C3%A4t.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Urs%20L%C3%BCthi%20Skulptur%20Selbstportr%C3%A4t.jpg
http://www.wikidata.org/entity/Q1288135,Willy Jaeckel,http://commons.wikimedia.org/wiki/Special:FilePath/Jaeckel-Selfportrait.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Jaeckel-Selfportrait.jpg
